animal_id,breed,sex,birth_weight_kg,withers_height_cm,chest_girth_cm,body_length_cm,colostrum_liters_first_week,early_health_score,ration_type,daily_dry_matter_intake_kg,disease_history_first_3m,weight_3m_kg,weight_6m_kg,weight_12m_kg
ANM-00001,Hereford,Female,31.1,74.4,77.1,61.6,24.8,5,high_energy,5.22,0,105.3,205.1,344.3
ANM-00002,Jersey,Male,40.8,70.3,78.6,59.7,8.6,4,standard,4.67,0,88.0,177.4,282.6
ANM-00003,Limuzin,Female,41.3,77.7,87.9,76.0,25.0,3,high_protein,5.52,1,109.9,188.2,296.6
ANM-00004,Angus,Female,33.1,75.8,92.0,85.7,25.0,5,standard,5.44,0,117.4,213.3,336.9
ANM-00005,Holstein,Male,39.1,79.1,87.0,73.8,22.2,4,high_energy,6.67,0,129.4,259.2,465.5
ANM-00006,Limuzin,Female,36.1,78.0,81.3,78.7,19.8,1,standard,4.28,1,87.2,153.8,238.6
ANM-00007,Hereford,Male,38.5,77.1,85.3,74.7,12.9,3,standard,6.33,0,113.1,199.8,360.1
ANM-00008,Hereford,Male,31.9,67.0,71.3,65.3,18.4,1,standard,3.61,1,82.7,150.9,224.8
ANM-00009,Holstein,Male,36.6,75.8,74.5,64.6,19.5,1,standard,2.75,0,77.4,152.0,267.0
ANM-00010,Jersey,Female,32.5,71.6,81.3,63.2,10.5,4,high_energy,3.01,0,65.0,137.1,265.1
ANM-00011,Simmental,Male,40.1,78.1,88.3,71.2,17.1,5,standard,3.22,0,119.9,227.5,374.2
ANM-00012,Limuzin,Male,44.6,81.4,98.7,76.2,13.6,5,standard,4.54,0,137.2,256.9,389.1
ANM-00013,Angus,Male,34.7,73.0,88.6,72.6,9.5,4,high_protein,3.9,1,93.9,178.5,284.8
ANM-00014,Hereford,Male,42.2,75.8,89.7,60.9,15.8,4,standard,3.76,0,117.4,203.3,338.1
ANM-00015,Jersey,Male,35.0,68.6,73.6,59.4,12.9,2,high_energy,3.4,0,65.0,132.7,244.0
ANM-00016,Simmental,Male,39.4,78.6,92.7,80.9,24.4,5,high_energy,5.07,0,139.9,262.6,475.1
ANM-00017,Angus,Male,37.1,65.9,81.9,71.9,11.7,4,standard,2.89,0,90.7,185.2,297.7
ANM-00018,Holstein,Male,41.5,76.8,85.7,64.9,14.1,4,standard,4.62,0,115.8,189.7,324.5
ANM-00019,Hereford,Female,35.3,70.2,85.1,58.7,20.9,4,standard,3.92,0,101.6,191.9,296.5
ANM-00020,Angus,Male,33.1,71.2,82.5,65.8,23.8,3,high_energy,3.79,0,108.4,203.7,355.4
ANM-00021,Hereford,Female,38.0,74.1,88.3,70.4,9.7,4,standard,3.2,1,78.7,120.0,220.0
ANM-00022,Simmental,Male,46.1,80.7,94.9,76.1,21.2,3,standard,3.64,1,118.5,194.8,301.7
ANM-00023,Limuzin,Male,39.1,82.3,99.8,83.3,16.2,3,standard,3.53,0,120.0,218.9,349.0
ANM-00024,Limuzin,Male,33.4,81.8,89.4,78.9,9.9,3,high_protein,3.64,0,91.8,179.7,300.4
ANM-00025,Hereford,Male,33.4,62.8,77.4,59.5,12.5,3,high_energy,6.69,0,108.6,213.7,408.0
ANM-00026,Holstein,Male,34.9,76.4,76.0,69.8,19.3,2,high_protein,3.95,0,76.2,178.0,305.5
ANM-00027,Jersey,Female,33.8,65.7,71.5,59.1,14.1,5,high_energy,4.4,0,80.3,158.1,276.9
ANM-00028,Holstein,Male,46.8,86.0,88.9,77.7,8.2,4,high_energy,6.43,0,128.5,257.3,401.4
ANM-00029,Holstein,Male,32.5,68.8,75.8,65.8,13.3,4,standard,3.99,1,72.5,121.9,220.0
ANM-00030,Angus,Female,28.5,74.0,82.1,78.5,20.1,4,high_protein,3.32,1,84.0,148.4,227.9
ANM-00031,Hereford,Male,39.3,75.8,78.1,60.1,23.8,5,high_energy,6.83,0,134.3,262.5,424.2
ANM-00032,Limuzin,Male,38.3,84.3,88.1,76.5,17.8,3,standard,4.16,0,117.1,218.9,372.4
ANM-00033,Simmental,Male,36.1,73.7,76.6,70.2,20.8,5,high_energy,4.31,0,123.3,245.9,401.9
ANM-00034,Simmental,Male,42.3,81.3,86.2,77.5,16.2,4,high_energy,2.84,0,131.0,221.5,397.0
ANM-00035,Jersey,Male,31.2,76.5,86.4,61.4,17.1,4,standard,3.13,0,65.0,142.7,268.9
ANM-00036,Holstein,Female,36.1,61.7,69.6,63.7,14.0,3,standard,3.06,0,80.4,133.6,220.0
ANM-00037,Holstein,Female,36.9,75.3,94.1,74.5,25.6,5,standard,4.65,0,89.9,157.4,290.9
ANM-00038,Jersey,Male,30.7,63.6,70.4,66.4,15.0,3,high_protein,4.25,0,65.0,142.8,290.6
ANM-00039,Simmental,Female,42.7,74.9,87.5,73.5,11.5,3,standard,5.16,0,116.7,209.1,328.2
ANM-00040,Angus,Female,31.6,68.0,84.3,74.8,13.2,3,high_protein,3.97,0,82.7,179.7,282.6
ANM-00041,Jersey,Male,34.9,63.9,81.8,62.9,19.4,5,standard,3.72,0,71.9,169.3,252.8
ANM-00042,Hereford,Female,38.4,71.2,80.9,70.3,12.8,4,high_energy,4.85,0,107.1,199.5,346.5
ANM-00043,Hereford,Female,34.4,66.5,71.4,62.8,12.0,4,standard,5.4,1,80.7,150.3,230.5
ANM-00044,Simmental,Female,41.8,74.5,83.1,83.3,11.0,3,high_protein,4.28,0,104.9,201.3,334.8
ANM-00045,Hereford,Female,35.8,78.3,77.6,72.6,20.7,4,standard,3.9,0,95.1,180.9,283.8
ANM-00046,Hereford,Male,34.0,74.3,74.9,72.4,12.8,3,standard,2.54,0,77.6,151.1,249.6
ANM-00047,Simmental,Male,40.5,78.7,87.2,80.3,22.6,4,standard,6.4,0,138.4,250.4,407.3
ANM-00048,Simmental,Male,40.9,73.6,87.0,66.8,16.1,5,standard,3.9,0,120.4,214.0,332.8
ANM-00049,Angus,Male,41.1,76.0,81.4,65.8,16.3,4,standard,3.65,0,120.5,209.2,333.1
ANM-00050,Holstein,Male,43.5,74.7,84.4,67.1,20.0,4,high_energy,3.53,0,111.5,205.0,339.1
ANM-00051,Holstein,Female,34.7,80.6,77.3,77.0,8.2,4,high_protein,6.03,0,93.2,186.6,323.9
ANM-00052,Holstein,Male,44.9,78.5,85.2,69.9,25.8,5,high_energy,4.67,0,128.5,232.7,396.3
ANM-00053,Hereford,Male,37.6,88.1,89.9,77.7,19.3,5,high_energy,4.84,1,119.6,200.0,321.1
ANM-00054,Angus,Female,27.2,61.5,74.1,70.7,24.2,2,standard,3.46,0,70.7,145.6,257.8
ANM-00055,Hereford,Male,32.8,79.5,86.3,74.0,11.0,2,high_protein,6.22,0,96.4,205.4,361.9
ANM-00056,Hereford,Male,34.3,81.9,84.9,80.5,12.3,2,high_protein,6.04,1,85.0,186.5,337.9
ANM-00057,Jersey,Female,29.0,64.4,69.0,71.2,18.4,4,standard,5.44,0,66.4,146.6,258.7
ANM-00058,Angus,Male,33.8,73.6,76.8,70.7,17.5,4,high_protein,4.19,0,114.5,209.2,356.9
ANM-00059,Holstein,Male,34.1,78.7,77.7,75.9,19.9,5,standard,4.56,1,103.3,172.2,273.0
ANM-00060,Holstein,Male,37.2,69.1,82.9,70.1,14.7,3,high_protein,3.8,1,83.2,153.4,266.6
ANM-00061,Angus,Female,36.7,78.4,78.7,72.7,25.2,4,high_protein,4.3,0,104.1,197.4,325.1
ANM-00062,Jersey,Male,27.2,61.4,79.3,63.4,25.7,5,high_energy,5.86,0,72.9,172.4,339.0
ANM-00063,Angus,Male,35.0,82.8,85.7,76.1,24.9,4,standard,5.29,0,115.2,200.2,369.8
ANM-00064,Hereford,Male,40.2,70.5,89.3,70.5,9.6,1,high_energy,5.37,1,88.5,162.5,277.9
ANM-00065,Angus,Male,36.3,78.3,90.8,79.9,12.7,1,standard,4.03,0,84.6,165.0,294.7
ANM-00066,Angus,Female,34.1,80.7,94.5,77.5,17.1,3,high_energy,4.71,0,96.0,194.6,339.5
ANM-00067,Angus,Male,36.8,73.9,78.0,71.0,23.1,4,standard,4.88,0,113.3,195.2,343.2
ANM-00068,Simmental,Female,36.0,80.5,87.8,70.4,20.1,3,high_energy,5.88,0,93.8,195.0,336.4
ANM-00069,Holstein,Male,38.4,77.4,79.5,63.4,15.8,2,high_protein,4.42,1,83.8,156.8,257.8
ANM-00070,Jersey,Male,30.7,62.5,68.6,70.3,22.2,4,standard,3.13,0,65.0,132.9,228.1
ANM-00071,Holstein,Female,33.1,78.7,81.9,68.2,19.1,5,standard,4.91,0,100.5,179.4,289.3
ANM-00072,Simmental,Male,40.2,90.3,101.8,89.3,14.6,4,high_energy,4.66,1,133.5,218.2,343.8
ANM-00073,Limuzin,Male,40.0,76.8,83.1,77.0,22.8,5,standard,3.69,0,135.9,234.1,374.0
ANM-00074,Simmental,Female,38.6,78.7,93.7,82.0,12.4,5,standard,5.08,0,115.4,217.5,336.8
ANM-00075,Holstein,Male,38.9,83.1,74.7,72.8,13.4,4,standard,5.35,0,97.2,204.4,352.9
ANM-00076,Simmental,Male,34.0,71.3,80.2,69.4,19.3,3,standard,3.99,0,96.5,173.0,302.4
ANM-00077,Simmental,Female,36.8,76.8,95.8,61.9,23.0,4,high_energy,5.13,0,120.9,219.6,370.5
ANM-00078,Angus,Male,33.0,73.0,84.0,70.1,9.1,4,high_energy,5.42,0,89.3,173.1,327.8
ANM-00079,Angus,Male,33.8,79.2,87.4,81.6,18.1,4,standard,5.1,0,120.1,220.6,368.4
ANM-00080,Hereford,Male,42.2,71.1,80.1,69.6,8.4,4,standard,2.6,0,101.3,188.7,304.3
ANM-00081,Angus,Male,33.8,73.7,83.4,70.8,21.5,2,standard,4.13,0,98.7,199.8,340.5
ANM-00082,Simmental,Male,40.0,87.7,97.4,89.5,23.4,3,standard,3.53,0,114.4,184.7,305.7
ANM-00083,Hereford,Female,39.8,79.5,84.8,78.4,14.8,5,high_energy,5.01,0,118.2,207.8,360.0
ANM-00084,Holstein,Male,39.9,73.9,69.1,62.9,14.3,4,standard,4.29,1,79.7,148.8,228.2
ANM-00085,Holstein,Female,35.9,80.2,82.6,74.3,21.0,4,high_energy,4.48,0,110.3,186.4,330.5
ANM-00086,Holstein,Male,37.1,78.6,84.2,71.8,12.9,3,high_protein,3.55,0,93.1,182.9,305.7
ANM-00087,Hereford,Male,36.8,74.1,80.7,72.5,21.4,5,high_energy,4.55,0,126.6,242.1,393.8
ANM-00088,Jersey,Male,27.5,61.8,69.2,61.1,12.7,5,high_energy,3.89,0,65.0,140.8,255.0
ANM-00089,Holstein,Female,31.8,75.4,90.3,72.6,11.4,4,standard,6.18,0,93.0,183.7,293.9
ANM-00090,Jersey,Male,31.1,62.4,69.1,58.6,10.5,5,standard,4.15,0,65.0,133.1,240.6
ANM-00091,Holstein,Male,33.0,66.4,89.5,67.0,8.9,3,standard,5.64,1,72.1,158.6,291.1
ANM-00092,Angus,Female,36.2,65.2,68.7,61.9,9.3,2,high_energy,6.34,1,73.8,152.0,258.0
ANM-00093,Jersey,Female,36.9,65.8,77.2,67.8,14.1,4,high_protein,3.88,1,66.5,120.0,220.0
ANM-00094,Simmental,Male,42.1,75.9,97.4,70.2,13.4,4,standard,4.07,1,113.2,175.6,288.9
ANM-00095,Simmental,Female,40.0,85.6,98.7,80.0,16.8,5,standard,3.99,0,142.8,236.0,345.2
